Title,Ingredients,Loves,food_id,tipe,not include
Ayam Woku Manado,"ayam kampung ,   jeruk nipis,   garam,   kunyit,  bawang merah,  bawang putih,  cabe merah,  cabe rawit merah ,   kemiri,   sereh,   daun salam,   daun kemangi, penyedap rasa,    air,",1,1,"jeruk, bawang merah, bawang putih",11
Ayam goreng tulang lunak,"ayam ,   serai ,   daun jeruk,   bawang putih ,   ketumbar ,    laos ,    kunyit ,   kemiri ,  garam,  air ,  minyak goreng,",1,2,"jeruk, bawang putih",9
Ayam cabai kawin,"ayam,   cabai hijau besar,   cabai merah rawit,   bawang putih,   bawang merah,  gula,  garam,   tomat merah,  air,  minyak goreng,",2,3,"cabai, tomat, bawang merah, bawang putih",5
Ayam Geprek,"ayam ,  gula dan garam,   tepung ayam serbaguna,  lalapan ,  minyak panas, sambal korek,  cabe rawit merah dan bwg putih,",10,4,0,7
Minyak Ayam,"kulit ayam  lemaknya,   bawang putih kating,  cincang kasar,   jahe,  geprek,   minyak goreng,   ketumbar bubuk,",4,5,"bawang putih, jahe",5
Nasi Bakar Ayam,"piring nasi,  fillet ayam,   kotak,  cuci bersih, daun pisang yang sudah dibersihkan, liditusuk gigi untuk mengapit daun,   daun salam,  cm serai,  memarkan,   daun kemangi,  opsional,  cabe merah besar,   tipis,   kecap manis, minyak untuk menumis,   air,  halus,  cabe merah besar,  cabe kecil,   bawang merah,   bawang putih,  kemiri,  cm kunyit, ¹²  jahe,  tomat,   gula pasir,  blok kaldu ayam pake royco,  masako, merica ,",1,6,"tomat, pir, bawang merah, pisang, bawang putih, jahe",23
Ayam Saus Hintalu Jaruk,"ayam,   hintalu jaruk,   cabe merah,   cabe hijau,   tepung terigu,   merica bubuk,   bawang putih,   jeruk nipis,  minyak goreng untuk menumis dan menggoreng,  gula,  garam dan penyedap rasa,",0,7,"jeruk, bawang putih",9
Ayam saos teriyaki Lada Hitam,"ayam bagian dada dan tulang,   bawang bombay,   bawang daun,   bawang putih,   cabe merah besar,   cabe ijo besar,   ,  air, mentega untuk menumis,   saos teriyaki ,   gula pasir,   royco ayam, larutan meizena,",0,8,"bawang bombay, bawang putih",11
Steak ayam,"dada ayam fillet,   air jeruk nipis,  garam, adonan basah,   terigu,   maizena,   merica, garam,  air, adonan kering,   terigu,   maizena,   merica bubuk,   kaldu jamur,  garam,  minyak goreng,  saus jamur,   jamur tiram blender,  bawang putih cincang halus,   keju parut,   maizena cairkan dgn air,   saus tiram,   kecap manis,   merica halus,  garam  kaldu jamur, air,  pelengkap, buncis dan wortel di kukus,",6,9,"jeruk, dada ayam, wortel, bawang putih",24
Ayam Saos Asam Manis Simple,"ayam bagian dada fillet ,  air jeruk nipis utk baluran,   tepung  ayam instan uk besar  campur sedikit tepung terigu,   bputih ,   bmerah ,   bbombay ,   tomat uk besar ,   saos sambal,   saos tiram,  gula  garam,  merica bubuk,",6,10,"jeruk, tomat",9
Mie Ayam Homemade by suami😂😂😂," mie ayam ,   tepung terigu proteiin tinggi,   telur,  sendok minyak goreng, air, secukupnyaa garam, air untuk merebus mie ,  air, minyak goreng,  halus kuah ayam untuk mie ayam ,  dada ayam,   bawang merah,   bawang putih,   kemiri,  lada,  ketumbar, jahe, lengkuas,   sereh,   daun jeruk,   daun salam, kecap, gula merah, minyak untuk menumis,  pelengkap , daun bawang, sawi hijau, bawang goreng,  sambal ,   cabai rawit merah, garam, air untuk merebus,",0,11,"lengkuas, telur, cabai, jeruk, dada ayam, daun bawang, bawang merah, bawang putih, jahe",23
Ayam Bakar Pedas Manis Resep :Nila Sari,"ayam broiler ukuran jumbo,  ,   bawang merah,   cabe ,   jahe,   kunyit,  lada bubuk,  ketumbar,   daun jeruk,   daun salam,   serai,   bawah putih,  kecap,  gula merah,  minyak goreng,  royco,  garam,   santan kara,",8,12,"jeruk, bawang merah, jahe",15
Semur Ayam Kentang Ala Mama Kirana,"ayam, kentang,  halus , bawang putih  bisa di sesuaikan sesuaikan, bawang merah, merica, kemiri, sedikit biji pala, cabai merah kriting,  bila suka pedas, sedikit jahe, rempah, daun salam, lengkuas, sereh, kapulaga, kulit manis, irisan bawang bombay, irisan tomat, garam, kecap manis, sedikit penyedap rasa, jeruk nipis untuk ayam,",2,13,"lengkuas, cabai, jeruk, kentang, tomat, bawang bombay, bawang merah, bawang putih, jahe",14
Ayam suwir,"ayam suwir ,   bawang merah,   bawang putih,   tomat,   merica,   terasi,   cabe rawit,   cabe kriting,  gula,  garam,  air,  penyedap rasa ,   daun salam,   lengkuas geprek,",0,14,"lengkuas, tomat, bawang merah, bawang putih",10
Ayam goreng tepung,"fillet ayam,   tepung  serbaguna,   telur ayam , garam sck, minya goreng  untuk menggoreng,",1,15,telur,4
Tulang Ayam Pedas Manis,"tulang ayam bersihkan lalu ,   cabe merah keriting,   cabe rawit ,   bawang merah,   bawang putih,   kunyit,   daun salam,   daun jeruk,   sereh geprek,   jahe geprek,  btr jeruk nipis,  kaldu bubuk,  gula pasir,  kecap manis,   air untuk merebus tulang, minyak untuk menumis,",3,16,"jeruk, bawang merah, bawang putih, jahe",11
Ayam penyet rumahan,"ekr ayam negri cuci bersih ptng beri air jeruk nipis cuci lagi,   jeruk nipis,  ayam goreng jd, yg bsah bisa beli di pasar, aku beli rb,  lmbr daun salam,  lmbr daun jeruk,  btng sere geprek, garam  dan penyedap,  minyak goreng, sambel penyet,   cabe rawit merah,   cabe merah,   bawang p kating,   bawang merah goreng sebentr, penyedap dan sedikit gula,",3,17,"jeruk, bawang merah",12
Sop ayam,"ayam  kecil kecil,   ceker ayam bersihkan,   kentang ,   wortel ,  mangkok makaroni ,   daun bawang ,   daun seledri ,  dihaluskan ,   bawang merah,   bawang putih, tambahan ,  sendok teh lada halus,  garam, penyedap rasa ,",3,18,"kentang, ceker ayam, daun bawang, bawang merah, wortel, bawang putih",8
Ayam suwir,"grm dada ayam,   daun jeruk,   bawang putih,   bawang merah,  cm jahe,  cm kunyit,  garam dan gula, minyak untuk menumis,",0,19,"jeruk, dada ayam, bawang merah, bawang putih, jahe",3
Nugget Ayam Home Made,"ayam d fillet ambil dagingnya aja,   wortel,   daun bawang prei,   bawang putih,   bawang merah,   merica,   tepung tapioka,  telur ayam, garam,  penyedap rasa, tepung roti tepung panir,",6,20,"telur, daun bawang, bawang merah, wortel, bawang putih",6
Ayam Koloke,"ayam fillet,  ,   tepung  serbaguna , pelapis,   tepung terigu,   maizena,  saus,   butter  margarin,   bawang putih,  cincang halus,   bawang bombai uk kecil ,   wortel ,   timun ,   daun bawang ,   cabe merah ,   cabe rawit ,   saus tomat,   saus tiram,   minyak wijen,   air lemon  jeruk nipis  cuka masak,   air, garam,  lada,  gula,   maizena ,",3,21,"jeruk, tomat, daun bawang, wortel, bawang putih, lemon",20
Mie tulang ayam,"tulang ayam,   kecil mie burung dara,   bawang putih,   bawang merah,  cabe rawit,  tangkai daun bawang,  tangkai seledri,    merica bubuk,   saos cabe,   kecap manis,  gula dan garam, minyak untuk menumis,",1,22,"daun bawang, bawang merah, bawang putih",9
Ayam Suir Bali (bemesere bali),"dada ayam ,   minyak goreng,  ,   cabai merah,   tomat,   cabe rawit,  garam,  gula jawa,   terasi bakar,  perasan jeruk limo,   daun jeruk purut,",0,23,"cabai, jeruk, dada ayam, tomat",6
Pindang ayam jadul,"ayam,  btr bawang merah  halus,   cabe rawit  halus,  cm jahe  halus,  cm lengkuas  halus,   kunyit halus,   asam jawa,   terasi bangka panggang,   tomat  ,  daun kemangi ,",0,24,"lengkuas, tomat, bawang merah, jahe",6
Ayam Kacang Panjang Saos Hoisin," ,   paha atasdada ayam,   kecap asin,  arak beras,  tapioka,  saos,   kacang panjang,   baput cincang halus,  cm jahe cincang halus,   saos hoisin,   kecap asin,   micin,   air, larutan tapioka,",2,25,"dada ayam, jahe",12
Tongseng ayam,"g  ayam ,  cc santan dr  kelapa ,   daun jeruk,   daun salam,   lengkuas ,   serai ,   cabe rawit hijau,   daun bawang ,   tomat ,   kecap manis,   kentang ukuran sedang ,  kol ,  garam, kaldu bubuk,  gula pasir , bawang goreng untuk taburan,  minyak untuk menumis,  halus ,   bawang merah,   bawang putih,   jahe,   kunyit,   ketumbar,   merica,   kemiri sangrai,   cabai merah besar,",1,26,"lengkuas, cabai, jeruk, kentang, tomat, daun bawang, kol, bawang merah, bawang putih, jahe, kelapa",15
Ayam penyet sambel kemangi,"dada ayam,   daun kemangi,   timun uk sedang,    racik tempe,  sambel,   cabe merah,   cabe rawit,   bamer,   baput, gula, garam,   tomat merah,  terasi,  minyak utk menggoreng, air utk mengungkep ayam,",0,27,"tempe, dada ayam, tomat",12
Nugget Ayam Wortel,"ayam giling,   wortel ukuran sedang,   bawang bombay,   bawang putih,   daun bawang,   telur ayam,   tepung terigu ,  tepung roti,  garam,  lada,  penyedap rasa ayam, minyak goreng,",4,28,"telur, bawang bombay, daun bawang, wortel, bawang putih",7
Ayam goreng pedas gila ala Kfc,"ayam,   tepung  uk g yg pedas ,  air es, minyak goreng,",2,29,0,4
Chicken Teriyaki,"ayam  memanjang,   bawang bombay,   memanjang,   gula,   garan,   air, minyak untuk menumis,  perendam ,   saus teriyaki,   saus tiram,   kecap manis,   minyak wijen,   bawang putih,  haluskan,  cm jahe,  haluskan,   merica,   kaldu bubuk,",1,30,"bawang bombay, bawang putih, jahe",15
Ayam Kecap Pedas Jeruk Limao,"ayam ,   daun salam,   jahe geprek,   daun jeruk,   tulangnya,   jeruk limao,  air perasn jeruk nipis,  garam,  merica,  gula pasir,  kaldu bubuk,  kecap manis,   air,   bawang bombay,  ,   halus ,   bawang putih,   bawang merah,   cabe keriting merah,   cabe rawit merah,",46,31,"jeruk, bawang bombay, bawang merah, bawang putih, jahe",13
Resep Ayam Kecap Rumahan,"ayam,  yg di haluskan ,  bawang putih,  bawang merah, sesuai selera cabe rawit dan cabe merah besar,  cm jahe,  lada dan pala, lengkuas se jempol kaki,  biji kemiri,",0,32,"lengkuas, bawang merah, bawang putih, jahe",5
Sop Ayam Garang Asam,"ayam,  serai,  cm jahe,  cabe rawit merah,  bawang putih,  bawang merah,  tomat hijau,  jeruk nipis ,  daun jeruk,  daun bawang,  garam,  penyedap,  air matang,",2,33,"jeruk, tomat, daun bawang, bawang merah, bawang putih, jahe",6
Ayam goreng krutuk,"tepung terigu, air matang, ayam , garam, gulapenyedap, lada bubuk,   telur ayam, minyak goreng,",4,34,telur,7
Ayam panggang saos kecap,"ayam panggang ,   ayam  sesuai selera,   bawang merah, ulek halus,   bawang putih, ulek halus, sedikit kunyit, dan garam, ulek halus, untuk olesan ayam , kecap manis, saus tomat, sedikit minyak, dicampur, saos kecapcocolan , sesuai selera kecap manis,   bawang merah,  melintang agak tebal,   bawang putih, ulek halus,   cabe rawit, ulek halus,   tomat  sesuai selera, jeruk nipis , arang untuk memanggang ayam,",0,35,"jeruk, mangga, tomat, bawang merah, bawang putih",17
Soto ayam kuah santan,"ayam ,   santan kara,  cm kunyit,  cm jahe,  lada,  daun salam, lengkuas, daun jeruk dan sereh,   bawang merah,   bawang putih, penyedap  gula, garam royko ayam,  pelengkap,  tomat, daun bawang dan seledri, bihun , bawang goreng, kol di  tipis, tahu goreng, kerupuk, bawang goreng, jeruk nipis, sambal ,",3,36,"lengkuas, jeruk, tomat, daun bawang, kol, bawang merah, bawang putih, tahu, jahe",13
Ayam Goreng Bumbu Kuning,"ayam,  air,  minyak goreng,   halus ,   bawang putih,    kunyit,    jahe,   ketumbar,  garam,",15,37,"bawang putih, jahe",7
Mie Geprek (Mie + ayam geprek),"mie burung dara,  ons dada ayam, tepung terigu, kubis, bawang putih, kecap, royco sapi,  garam, ebi, minyak wijen, saus tiram, lada bubuk, minyak goreng, air, cabe rawit, bawang merah,",2,38,"sapi, dada ayam, ubi, bawang merah, bawang putih",11
Seblak Mie Tulang Ayam,"mie burung dara,  tulang ayam sisa filet , sawi hijau, sawi putih, garam, gula,  halus ,   bawang merah,   bawang putih,   cabe keritinh,   cabe rawit ,    kencur,",0,39,"sawi putih, bawang merah, bawang putih",9
Sweet Buffalo Chicken 🐔," utama,   paha ayam ,   pelapis ayam ,  garam,   lada hitam bubuk,   paprika bubuk,   tepung terigu,   saus,   margarin unsalted,   bawang putih bubuk,   gula merah bubuk,   saus tomat,   saus sambal,  garam,  wijen,",0,40,"paha ayam, paprika, tomat, bawang putih",11
Ayam Garang Asem,"ayam,  daun pisang,  santan kara kecil,  jeruk nipis,  rajang,  cabai rawit,  cabai merah,  tomat hijau kecil,  bawang merah,  bawanh putih, tambahan,   laos,   jahe,  daun jeruk,  daun salam,   serai, garam gulpas air minyak goreng,",3,41,"cabai, jeruk, tomat, bawang merah, pisang, jahe",9
Ayam Geprek,"fillet dada ayam khas dalam, tepung  kriuk, baham sambal,   rawit merah,   cabai merah keriting,   bawang putih,  garam,  kaldu jamur,",1,42,"cabai, dada ayam, bawang putih",5
Ayam Asam Manis Rumahan citarasa Resto,",   dada ayam,   dadu,   paprika merahhijau, sedikit nanas,   dadu,  bawang bombay,   bawang putih,  geprek,   minyak bawang utk menumis, air dan tepung sagu,  perbandingan , saos asam manis,   saos tomat,   saos sambal,   saos lea perrins,   gula pasir,   kaldu ayam,  garam,   kecap inggris,   minyak wijen,   maggie seasoning,   saos raja rasa,  marinasi ayam,   gula pasir,   garam,   kaldu ayam,   merica,",6,43,"paprika, dada ayam, tomat, bawang bombay, nanas, bawang putih",22
Ayam goreng tepung simple,"ayam dada ,   bawang putih haluskan,   lada bubuk,  kaldu bubuk,  garam,   telur, tepung pelapis ,   tepung terigu,   tepung meizena,",7,44,"telur, bawang putih",7
Sop Balungan Ayam,"tulang dari  ayam jowo,  rebus dg api kecil,  ulek ,   bawang putih,   merica bubuk,   pala bubuk,  cengkeh,   garam,   kaldu jamur,   gula,  sayur ,   wortel,   tipis,  kentang ukuran kecil,   dadu,  bonggol sawi sendok,  seledri dan daun bawang, pelengkap  bawang merah goreng,",2,45,"kentang, daun bawang, bawang merah, wortel, bawang putih",13
Ayam goreng lepas tulang lembut,"ayam,  bawang putih,   laos,   jahe, daun salam,  serai ,  daun jeruk, ,",3,46,"jeruk, bawang putih, jahe",5
Sayap Goreng Bumbu Ngo Hiang,"sayap ayam bagian drum stick,   air jeruk nipis  lemon,   garam,    ngo hiang,  tetes suclarosestevia drop ,",35,47,"jeruk, sayap ayam, lemon",3
Semur ayam kampung,"ayam kampung,   bawang putih,   bawang merah,   kemiri,   jahe,   daun jeruk,   daun salam,   serai , lengkuas,   kunyit bubuk,   ketumbar bubuk,   merica bubuk,   garam,   gula pasir, sedikit royco,  kecap manis,  air kaldu ayam kampung,  minyak goreng,",4,48,"lengkuas, jeruk, bawang merah, bawang putih, jahe",13
Ayam Tepung KFC super gurih,"ayam ,   air lemon,  black papper,  garam,  pelapis ,   tepung terigu serba guna,   tepung maizena,   oregano,   garam,   masako ayam,   bubuk cabai,  pencelup ,   tepung terigu,   bubuk cabai,   garam,  lada putih, air es,",0,49,"cabai, lemon",14
Soto Ayam Surabaya,"ayam,   bawang merah,   bawang putih,  ketumbar,  lada,   kunyit,   lengkuas,   jahe,   kemiri, daun salam, daun jeruk, gula, garam, penyedap rasa , daun bawang, kol, tauge, kentang, telur rebus, sambal rebus,",4,50,"lengkuas, telur, jeruk, kentang, daun bawang, kol, bawang merah, bawang putih, jahe, tauge",10
Ayam Suwir ala Bali / Ayam Sisit,"fillet ayam tanpa kulit,   minyak wijen,   kecap ikan,   saos tiram,   unsalted butter untuk menumis,  yang dihaluskan,   bawang merah,   bawang putih,    kencur,    kunyit,   rawit merah atau sesuai selera,   udang rebon,   garam,",4,51,"bawang merah, bawang putih",11
Risoles rogut ayam," isian,   kentang,  kukus dan tumbuk halus,   wortel,  diserut kasar,   dada ayam rebus,  suwir halus,   tepung terigu,  lada bubuk,  garam,   susu cair,   bawang putih,  haluskan,   keju cheddar parut,   minyak goreng,  kulit,   tepung terigu,   margarine,  dicairkan,   telur,  garam,  air,   tepung panir untuk membalur,",7,52,"telur, kentang, dada ayam, wortel, bawang putih",18
Ayam masak kicap ala malay,"ayam,   bawang bombay,   cabai keriting merah,   cabai rawit,   cabai lalap,   tomato,   kecap,   saos sambal,   saos tiram,   kunyit bubuk,   garam,   kaldu bubuk totole ,",7,53,"cabai, tomat, bawang bombay",7
Ayam tepung,"ayam,   tepung terigu,  royco,   bawang putih,  sendok teh lada bubuk,   jahe,   kunyit,  garam, minyak goreng,   telur ayam ambil putih nya aja,",1,54,"telur, bawang putih, jahe",7
Ayam goreng bakar kecap,"ayam,  minyak untuk menggoreng,  kuning halus,  bawang putih,  cm kunyit ,  cm lengkuas,   ketumbar,   merica,   air,  garam dan kaldu bubuk,  bakar,   kecap,   mentega,  sambel,  bawang merah,  bawang putih,  cabe hijau besar,  cabe rawit,  tomat hijau,  garam dan gula,",67,55,"lengkuas, tomat, bawang merah, bawang putih",15
Somay ayam bumbu kacang,"dada ayam, kulit lumpia instan,   terigu,   kanji,   bawang putih,   merica bubuk,  sachet royco,  kacang,   kacang,   gula merah,   royco,   gula pasir,  cabe, larutan maizena, kecap, pelengkap , gubis, telur puyuh, tahu putih,",4,56,"telur, dada ayam, ubi, bawang putih, tahu",14
.Ayam Kecap Cabe Ijo,"ayam  ,  bersihkan, cabe ijo ,   serong, bawang bombay ,  , bawang putih ,  cincang, garam, gula pasir, lada bubuk,   kaldu bubuk ,   kecap manis ,  ungkep ,   bawang merah,   bawang putih,  cm kunyit,  cm jahe,  cm lengkuas,  geprek,   serai, ,   ketumbar,   kemiri,   daun jeruk, garam,",9,57,"lengkuas, jeruk, bawang bombay, bawang merah, bawang putih, jahe",19
Ayam Masak Kluwek,"kluwek,  ayam paha,  sayap ayam,   kemiri,   cabe merah ,   bawang merah,   bawang putih,  cm jahe,  keping asam kering,   bubuk kunyit, garam,  gula,  penyedap rasa,  air,",0,58,"sayap ayam, bawang merah, bawang putih, jahe",10
Ayam Goreng Telur,"paha ayam,   bawang putih,   daun jeruk,   daun salam,   serai,  sendok teh garam,  sendok teh ketumbar bubuk,  cm kunyit,   telur ayam,   air,",17,59,"paha ayam, telur, jeruk, bawang putih",6
Ayam Goreng Pemalas,"ayam,    ayam goreng sajiku,  lengkuas parut,   makan minyak goreng,  air matang,",6,60,lengkuas,4
Nuttget ayam+sayur,"telur,   ayam,  wortel,   tepung trigu,   tapioka,  bawang putih,  bawang merah, daun bawangseledri, lada, tepung panir, royko ,",4,61,"telur, daun bawang, bawang merah, wortel, bawang putih",6
Chicken Hainan & Nasi Hainan Simple Magic Com," untuk ayam hainan,  pcs paha ayam utuh ,   bawang putih,   jahe,   sereh,   daun salam,  jeruk nipis  lemon,   bawang bombay,   kecap ikan,   minyak wijen, sejumput garam, air matang, kaldu ayam bubuk  block ,  untuk nasi hainan,  cup beras,   bawang putih,   jahe,   sereh digeprek,   daun salam,   minyak wijen, sejumput garam, kuah rebusan  chicken hainan, margarin,  untuk saus hainan,   bawang putih parut,   kecap manis,   kecap asin,   minyak wijen,  tambahan pelengkap, ketimun, daun bawang, bawang goreng, emping,",8,62,"paha ayam, jeruk, bawang bombay, daun bawang, bawang putih, jahe, lemon",24
Ayam Rica-rica super pedes,"ayam , ,   cabai merah,   cabai rawit,   bawang putih,   bawang merah,   kemiri,  sachet merica bubuk,  sachet ketumbar bubuk,  gula merah,  kecap manis,  garam,  penyedap rasa,   kunyit,   jahe,   besar lengkuas,   serai,   daun salam,   daun jeruk,  minyak goreng,  air,",21,63,"lengkuas, cabai, jeruk, bawang merah, bawang putih, jahe",14
Ayam Goreng,"ayam ,  ,   bawang putih ,   bawang merah ,   kunyit ,   ketumbar bubuk,   daun salam,   daun jeruk,   serai ,  garam,",1,64,"jeruk, bawang merah, bawang putih",7
Ayam Cabe Ijo,"ayam broiler  bagian,   air jeruk nipis,   garam,   minyak goreng utk menumis,   daun jeruk,   sereh di geprek,  halus ,   bawang merah,   bawang putih,   cabe hujau besar,   cabe rawit hijau,   jahe,   kunyit,   kemiri,  garam dan gula pasir,",8,65,"jeruk, bawang merah, bawang putih, jahe",10
Ayam fillet asam manis,"dada ayam tanpa tulang,   tepung terigu,   tepung maizena,  putih telur,   saus tomat,   saus tiram,   bawang bombay ,   bawang putih ,   garam,   gula pasir,   merica bubuk,",10,66,"telur, dada ayam, tomat, bawang bombay, bawang putih",6
Ayam ukep bumbu sederhana,"ayam broiler,   bawang putih ukuran besar,   peres ketumbar, kunyit, garam, gula, air,",0,67,bawang putih,6
Tongseng Ati Ampela Ayam,"hati ampela ayam yang masih dibalut usus,   minyak goreng,   air,   bawang putih,   bawang merah,   cabe rawit,   cabe merah keriting,   kemiri,   ketumbar bubuk,   jahe,   lengkuas geprek,   daun salam,   lada,   garam,   penyedap,   kecap manis, sejumput pala bubuk,",3,68,"lengkuas, bawang merah, bawang putih, jahe",13
Ayam penyet ala sy,"ayam potongcuci bersh,   ktumbar bbuk,   bwg puth,   bwg merah,   laus,  lmbr daun salm,  garam,  jeruk nipis, bhn sambl ulek,  cabe merah, cabe rawit,   tomat merah besar,  terasi bkar, jeruk nipis atau jeruk limau,",6,69,"jeruk, tomat",11
Broccoli Rice with Grilled Chicken (menu sehat),"bonggol brokoli ukuran sedang  besar,   dada ayam ,   jamur king oyster ,   kentang , bawang putih cincang , garam,  lada hitam,  gula  vetsin , rosemary dan thyme kering,",8,70,"kentang, dada ayam, kol, bawang putih, brokoli",5
Ayam goreng kremes renyah + sambal trasi🌶🍅🍗,"kilo ayam ,   daun salam,   sereh,   daun jeruk,   santan ,   minyak untuk menggoreng ,  yang dihaluskan,  jsiung bawang putih,  siun bawang meraih,   ketumbar bubuk,   merica bubuk,   kemiri,    kunyit,   gula,   garam,  kremes,   air rebusan ayam ,  g tepung sagu ,   tepung beras,   telur utuh,   baking powder double acting ,  gula garam, sambal terasi,   cabe merah ,  cabe merah,   bawamg putih,   bawang merah,   tomat ukuran sedang,  terasi,  gula garam,",10,71,"telur, jeruk, tomat, bawang merah, bawang putih",25
Balado ayam,"fillet ayam  ,  biji bawang bombay, cabe kering,  halus,  gula, bunga kapulaga,",0,72,bawang bombay,5
Mie ayam,"ayam fillet,   ceker ayam, bila suka tetelan ayam,  minyak ayam , kulit ayam, minyak goreng,   bawang putih cincang,  tambahan , mie kuning,   sawi, daun bawang, daun seledri,   serai geprek,  daun jeruk,  daun salam, laos geprek, bawang goreng, kecap manis, kecap asin,  sambal ,  cabe rawit,   bawang putih,  yang dihaluskan ,   bawang merah,   bawang putih,    jahe,    kunyit,   kemiri, merica bubuk,",7,73,"jeruk, ceker ayam, daun bawang, bawang merah, bawang putih, jahe",21
"Chicken wings ""saori"" super simple","sayap ayam,   bawang putih,   saori saus tiram,   saori saus teriyaki,   lada,",3,74,"sayap ayam, bawang putih",3
Tim Ayam Bawang,"ayam  sesuai selera ,   bawang merah  tipis,   bawang putih  tipis,   daun bawang  serong,   bawang bombay ukuran sedang,    jahe, penyedap rasa ayam secukup nya,",6,75,"bawang bombay, daun bawang, bawang merah, bawang putih, jahe",2
Ayam richeese saos fire & keju,"adonan ayam crispy, tepung serbaguna,  sayap ayam,  telur ayam kocok lepas, saos fire,   saos sambal,   saos tomat,   saos barbeque ,   minyak wijen,   saos tiram,   bawang putih geprek,   bon cabe,   kecap manis, saos keju,   susu uht full cream,  keju parut chedar,   maizena , margarin,",7,76,"telur, sayap ayam, tomat, bawang putih",14
Sup kembang tahu+bakso ayam,"kembang tahu kering,   wortel  dadu,   ceker ayam,   bakso ayam,  ltr air,  garam dan merica,  daun bawang,",13,77,"ceker ayam, daun bawang, wortel, tahu",3
Ayam jamur barbecue,"sayap ayam,   jamur campion,   bawang bombay,   bawang putih,  sendok makan saus kikoman,  sendok makan saus tiram,  sendok makan saus barbecue,  sendok makan kecap manis, sejumput merica dan garam, minyak untuk menggoreng,   air,",2,78,"sayap ayam, bawang bombay, bawang putih",8
Ayam bumbu kuning,"sayap ayam  ,   kelapa parut,   bawang merah,   bawang putih,   kunyit bubuk  cm kunyit,  garam,  merica,   biji pala bubuk,   air, minyak goreng,   sereh ,   salam,  cm lengkuas ,",7,79,"lengkuas, sayap ayam, bawang merah, bawang putih, kelapa",8
"Semur Ati Ayam, Telur Puyuh, Tahu","ati ayam,  cuci bersih,   telur puyuh,  rebus lalu kupas,   tahu,   melintang lalu goreng ,   tomat,  ,   sereh,  ambil putihnya,  geprek,   daun salam,  cm lengkuas geprek,   minyak goreng,  kecap manis,  gula merah,  garam,  lada,  air,  halus,   bawang merah,   bawang putih,  cm jahe,  cm kunyit,   kemiri,   cabai keriting,",6,80,"lengkuas, telur, cabai, tomat, bawang merah, bawang putih, tahu, jahe",18
Soto Ayam Kampung,"ayam kampung,   serai geprek,  daun jeruk, daun seledri, daun bawang, bawang goreng, jeruk nipis,  yg dihaluskan ,   bawang merah,   bawang putih,    kunyit,    jahe, sedikit laos,  merica bubuk,  pelengkap, bihun atau soun, gubis, kecambah,",8,81,"jeruk, daun bawang, ubi, bawang merah, bawang putih, jahe",11
Mie ayam by dapur mama R&M,"ayam ,   mie telor,  pokcoy,  daun bawang,   daun salam,  air,  gula,  garam,  kecap, penyedap rasa ,   bawang putih,   bawang putih ,   bawang merah,   ketumbar,   kemiri,   kunyit, lada bubuk,",2,82,"daun bawang, bawang merah, bawang putih, pokcoy",12
Steak ayam saos lada Hitam,"filetan dada ayam,  untuk ayamnya ,   lada hitam,   royco ayam,   bubuk bawang putih,  tepung ,   tepung,   lada,   royco,   bawang putih,   telur , minyak untuk menggoreng, wijen sangrai untuk hiasan, wortel,  kentang,  buncis untuk lalapan,  saos ,   saos tiram,   bawang bombay,   bawang putuh,   royco,   gulpas,   lada hitam bubuk, larutan meizena,   kecil air,",1,83,"telur, kentang, dada ayam, bawang bombay, wortel, bawang putih",18
Ayam saos nanas pedas manis," ,   dada ayam filet,   tepung maizena, kecap asin,  ,   saos pedas,   minyak wijen,   kecap manis,   saos tiram,  lada bubuk,  ,   bawang putih,  bawang bombay  kotak,  paprika  kotak , bbrp  nanas,  gula dan garam,",7,84,"paprika, dada ayam, bawang bombay, nanas, bawang putih",11
Ayam Santan Ngamuk,"ayam  ,  sesuai selera,   bawang putih,   bawang merah,  ons cabe merah,  gula merah,  sendok kecap manis,   daun jeruk, kemiri , goreng, jeruk limau,   lada bubuk,  santan kental,  sendok gula pasir,  garam,  air,",6,85,"jeruk, bawang merah, bawang putih",12
Ayam asam manis,"ayam ,  tepung serbaguna,  biji telur,  saos ,   cabe merah besar ,   bawang bombay,   bawang putih,  wortel ,  kacang polong,   saus tomat,   saos sambal,  tepung maizena ,",2,86,"telur, tomat, bawang bombay, kacang polong, wortel, bawang putih",6
Ayam bumbu Betutu,"ayam kampung,  bawang merah,  bawang putih,   lengkuas,  cabe rawit merah,  cabe merah,  kemiri, kunyit ,   ketumbar,  terasi abc, sereh,  daun jaruk,  daun salam,",3,87,"lengkuas, bawang merah, bawang putih",10
Siomay Ayam Udang,"ayam,  blender,   udang cincang kasar,  btr telur,  btr bawang putih,  blender bersama ayam,   wortel parut,  sisihkan sedikit u taburan,   daun bawang,   saus tiram,   minyak wijen, garam, merica, kulit siomay,",6,88,"telur, daun bawang, wortel, bawang putih",10
Ayam Kecap Manis Cabai,"ayam,   bw putih,  geprek cincang,   cabe merah besar,   serong,   merica bubuk,   kecap manis,   air,  garam,   minyak sayur,  daun bawang,  utk taburan,",164,89,daun bawang,11
Spicy chicken wings keto/low carb,"sayap ayam belah dua,  rendam ,   bwg putih haluskan ,   lada bubuk ,  garam, cabe bubuk , tambahkan bila ingin lebih pedas,  siram,  sd  butter,  sd  kecap tropicana slim,   kecap asin,   atau lebih cabe bubuk,  garam,  air matang, minyak goreng untuk menggoreng,",6,90,sayap ayam,14
