Title,Ingredients,Loves,food_id,tipe,not include
Udang Telor Asin Spesial (Gampang Banget)," baluran tepung,   tepung terigu,   tepung tapioka,  tepung roti,   telur,   susu full cream,  garam,  marinasi udang,  garam,  lada,  udang,  ,   bawang putih,   telor asin matang,   daun pre,   kaldu ayam ,   cabe besar,  minyak,  mentega ,",5,12658,"telur, bawang putih",17
Udang saus padang,"udang,   air jeruk nipis,  bawang bombay, ,   tomat,  ,  cm jahe,  memarkan,   daun bawang, ,   daun jeruk,   air,   saus sambal,   saus tomat,   saus tiram,  garam dan gula,  merica bubuk, haluskan,   bawang merah,   bawang putih,   cabai merah,   cabai merah,  cm jahe,",6,12659,"cabai, jeruk, tomat, bawang bombay, daun bawang, bawang merah, bawang putih, jahe",11
Udang Saus Tiram,"grm udang ,  cc air, minyak untuk menumis, ,   cabe merah kriting,   cabe rawit merah,   bawang merah,   bawang putih,   ketumbar,   jahe ,  garam,  gula pasir, masako,   saori saus tiram,   kecap manis ,",4,12660,"bawang merah, bawang putih, jahe",12
Spring roll udang jamur,"kulit lumpiaspring roll ,  isian,   udang giling ,   jamur kancing ,   tepung terigu,   tepung beras putih,   bawang putih ,   telor ayam kampung,   daun bawang ,  garam,  kaldu sapi non msg,  lada putih,",5,12661,"sapi, daun bawang, bawang putih",9
Fuyung hai udang,"udang kupas bersih kemudian cincang kasar,   bawang bombay irisi halus,   daun bawang  halus,   wortel serut pot kotak,   telur,   maizena,  garam dan merica,  saus,   mentega,  bawang bombay  halus,   penuh saus tomat,  timun  tipis ,   maizena larutkan dengan sedikit air,  mangkuk kecil air putih, gula,",15,12662,"telur, tomat, bawang bombay, daun bawang, wortel",9
Ramen jepang topping udang,"mie bulat ramen siap saji,   udang,   bawang putih cincang halus,   tepung maizena larutkan dengan air,  kaldu ayam  sapi,   air untuk merebus,   kecap jepang,   kecap manis,   jahe,   saos thailand  sesuai selera,   minyak ikan,   garam,   gula halus,   pala halus,   wijen dan ottogi,   lada bubuk,",1,12663,"sapi, bawang putih, jahe",13
Udang saus Richeese,"udang,  kupas dan bersihkan,   kecil tepung ,   tepung beras,   saus baberque,  bisa pakai merk apa saja,   gula pasir,   saus sambal extra pedas,   minyak goreng sekitar,",1,12664,0,9
Fettucini cajun shrimp,"grm fettucini,  grm udang besar kupas,   cajun seasoning,  bawang putih,  bombay,  paprika,  cabe bubuk campur jd,   tepung,   mentega,   olive oil,  cangkir kaldu,  cangkir heavy cream,   peterseli, garam merica,   permesan,",4,12665,"paprika, bawang putih",13
Udang asam manis,"udang kupas kulit sisakan ,   bawang bombay,   bawang putih cincang kasar,    kecap manis,   gula pasir,   makan perasan jeruk nipis,   daun bawang  tipis,  saos sambal,  saos tomat,  minyak goreng,  mentega,",28,12666,"jeruk, tomat, bawang bombay, daun bawang, bawang putih",6
Udang tahu acar,"udang, jeruk nipis dan garam  untuk rendaman udang selama menit,   besar tahu putih ,   wortel uk sedang ,   timun  biji bagian tengah,   cabe keriting di  serong,   serai di geprek,  halus ,   bawang merah,   bawang putih,   kemiri,   ketumbar,  cm kunyit,   lada,  garam,  gula dan jeruk nipis,",7,12667,"jeruk, bawang merah, wortel, bawang putih, tahu",10
Udang asam manis,"udang,  biji tomat,  biji lombok besar,  biji bawang merah,  biji bawang putih,   kecap manis, garamroyko,",1,12668,"tomat, bawang merah, bawang putih",4
Siomay ayam & udang,"bulat kulit pangsit dipotong,   paha ayam tanpa kulit,  digiling,   udang kupas ,   bw putih ulek,   putih telur,   tep sagu ,   daun bawang besar cincang,   saos tiram,   gulpas,   minyak wijen,   merica bubuk,   kecap asin,   kaldu jamur, taburan atas , parutan wortel,",25,12669,"paha ayam, telur, daun bawang, wortel",12
Udang pedas praktissss,"udang,   bawang merah,   bawang putih,  cabe merah besar,  cabe hijau besar,  tomat besar,  cabe rawit, minyak goreng untuk menumis, penyedap rasa saya pakai royco ayam,",7,12670,"tomat, bawang merah, bawang putih",6
Tumis udang kembang kol tanpa garam,"udang ukuran sedang,   kembang kol,   bawang, jahe seukuran ibu , minyak wijen  untuk menumis,  bisa pakai minyak sayur,  lada,   air,",2,12671,"kembang kol, kol, jahe",6
Udang rebus mentega,"udang sy pakai udang jerebung,   mentega,  lada,   kecap ikan,   kecap inggris, saos sambal dan kecap  untuk cocolan,",6,12672,0,6
Sambal Goreng Kentang with Shrimp,"udang,   kentang ukuran cukup besar ,  halus,   bawang putih,   bawang merah,  bauh cabe merah besar,  genggam cabe rawit  sesuai selera,  pelengkap,   daun salam,   daun jeruk, garam, totole ,",4,12673,"jeruk, kentang, bawang merah, bawang putih",8
Udang bakar mentega pedas manis,"udang, mentega,  marinase, kecap asin , kecap manis , jeruk nipis, saos sambal, garam , minyak goreng sedikit saja, cabe setan dan bawang putih diulek sampai halus,",2,12674,"jeruk, bawang putih",8
Gulai ikan+udang anti galau,"ikan laut,  pcs udang ukuran sedang,  bawang merah,  bawang putih,   kunyit,   jahe,   lengkuas ,   cabe merah,   sere ,  sun kara ,   garam,   gula pasir,   royko ayam,   minyak goreng,   air putih,  tomat matang ukuran kecil,",11,12675,"lengkuas, tomat, bawang merah, bawang putih, jahe",11
Udang saos bangkok,"udang,   bawang putih,   bawang merah,  cm jahe, , ,  ulek,   kemiri, cabe merah, cabe rawit, , ,   lemon, daun jeruk, gula, garam, merica, raja rasa, saos abc bangkok, , ,  rendaman,   bawang putih, kecap inggris, garem,",8,12676,"jeruk, bawang merah, bawang putih, jahe, lemon",19
Udang Mayones,"udang ukuran sedang,  tepung terigu,  garam, beberapa tetes saos tiram,   jeruk sambal,  sachet mayones ukuran kecil,  saos sambal, beberapa  seledri,  minyak goreng,",4,12677,jeruk,8
Sempolan udang wortel,"udang,  kupas kulitnya,   wortel,  kupas dan parut,   telur ayam,   tepung tapiokasagukanji,   tepung terigu,   bawang putih,  cincang,  gula garam merica,  tepung roti,",2,12678,"telur, wortel, bawang putih",8
Udang + putih telur saus teriyaki,"udang,   putih telur rebus ,  ,   bawang putih ,   bawang bombai ,   cabe merah besar ,   cabe hijau besar ,   cabe rawit sesuai selera,    jahe ,   merica bubuk,   saus teriyaki,   saus tiram,  gula,  garam,   minyak goreng mentega,  gls air,",3,12679,"telur, bawang putih, jahe",13
Udang asam manis,"udang basah,   cabe hijau,  cabe merah,   bawang putih,   bawang bombay klo gak ada bisa di ganti bawang merah,  sendok makan saos tomat,  sm gula pasir,  sendok teh garam,  jeruk nipis,  kaldu sapi,",33,12680,"sapi, jeruk, tomat, bawang bombay, bawang merah, bawang putih",5
Sambal udang,"udang ukuran kecil,   cabe merah,   cabe rawit merah,   bawang putih, seruas kuku terasi,  kaldu bubuk, sedikit gula jawa, minyak untuk menumis,",45,12681,bawang putih,7
Sop toge udang cah tahu goreng #homemadebylita,"tahu kotak ,  genggam toge,   udang ,   daun bawang,   garam,   minyak wijen,   merica, segenggam jamur merang,   cabe rawit,   bawang putih,",3,12682,"daun bawang, bawang putih, tahu",7
Dimsum Udang in A Cup,"udang ukuran sedang,   telur,   wortel,   labu kecil,   daun bawang,   seledri,   bawang putih,  goreng,   bawang merah,  goreng,   saos tiram,   tepung tapioka, garam, gula, kaldu jamur, kulit lumpia,",32,12683,"telur, daun bawang, bawang merah, labu, wortel, bawang putih",10
Udang panggang madu teflon,"udang tiger sedang, sesuai selera kecap manis, garam, gula putih,   minyak wijen,   saus tomat,   saus sambal , merica bubuk,   madu,   bawang putih cincang, minyak sayur,   daun ketumbar cincang halus ,   jeruk sambal,",11,12684,"jeruk, tomat, bawang putih",10
Udang gulung tepung,"udang kupas,   tepung sagu,  bawang putih,  putih telur,   kecap ikan, garam, gula, merica,  pencelup,  cup terigu,   baking powder, garam, merica,  cup air adonan kental seperti lem,",3,12685,"telur, bawang putih",12
Tumis Kacang Panjang Udang Pete Sederhana,"kacang panjang,   udang,  kupas kulit,  belah punggung,  pete belah jadi, saus tiram, kecap manis, gula,  garam dan penyedap rasa, daun salam, lengkuas,   ,  bawang putih,  bawang merah,  cabe merah,",2,12686,"lengkuas, bawang merah, bawang putih",12
Sambal Udang Pedas,"udang segar,  halus,  bawang merah,  balut,   tomat merah,  cabe merah kriting,  cabe rawit merah,  gula, garam,",5,12687,"tomat, bawang merah",7
